id_venda,id_tempo,id_cliente,id_artigo,id_vendedor,quantidade,preco_unitario,desconto_perc,custo_unitario,total_bruto,total_desconto,total_liquido,custo_total,margem
1,63,19,22,4,7,272.33,0,114.37,1906.31,0.0,1906.31,800.59,1105.72
2,352,47,30,7,4,608.68,20,378.81,2434.72,486.94,1947.78,1515.24,432.54
3,231,14,23,3,2,592.16,20,241.78,1184.32,236.86,947.46,483.56,463.9
4,241,38,8,1,8,510.05,5,225.13,4080.4,204.02,3876.38,1801.04,2075.34
5,52,36,13,7,5,572.48,15,308.58,2862.4,429.36,2433.04,1542.9,890.14
6,96,40,27,6,6,517.2,5,215.88,3103.2,155.16,2948.04,1295.28,1652.76
7,222,17,20,1,7,587.18,10,328.93,4110.26,411.03,3699.23,2302.51,1396.72
8,231,30,3,5,1,729.73,20,329.94,729.73,145.95,583.78,329.94,253.84
9,237,9,5,2,8,154.15,0,83.23,1233.2,0.0,1233.2,665.84,567.36
10,143,33,9,4,4,762.14,0,546.05,3048.56,0.0,3048.56,2184.2,864.36
11,171,25,29,8,9,179.09,0,116.51,1611.81,0.0,1611.81,1048.59,563.22
12,29,14,6,6,1,113.3,20,65.51,113.3,22.66,90.64,65.51,25.13
13,36,11,25,6,2,977.28,15,426.81,1954.56,293.18,1661.38,853.62,807.76
14,13,35,22,3,6,959.14,20,621.2,5754.84,1150.97,4603.87,3727.2,876.67
15,160,41,2,1,1,107.41,20,50.0,107.41,21.48,85.93,50.0,35.93
16,327,14,13,3,4,471.09,0,202.87,1884.36,0.0,1884.36,811.48,1072.88
17,187,30,5,2,8,226.93,20,151.04,1815.44,363.09,1452.35,1208.32,244.03
18,243,41,28,7,5,511.08,0,390.89,2555.4,0.0,2555.4,1954.45,600.95
19,86,4,27,2,9,838.67,15,489.98,7548.03,1132.2,6415.83,4409.82,2006.01
20,284,4,25,7,6,953.08,10,396.86,5718.48,571.85,5146.63,2381.16,2765.47
21,66,28,8,3,1,652.54,0,490.79,652.54,0.0,652.54,490.79,161.75
22,170,8,23,4,6,386.21,5,164.83,2317.26,115.86,2201.4,988.98,1212.42
23,45,2,1,2,6,623.16,10,465.5,3738.96,373.9,3365.06,2793.0,572.06
24,62,41,20,3,6,346.4,15,192.85,2078.4,311.76,1766.64,1157.1,609.54
25,134,46,12,1,8,914.33,10,499.37,7314.64,731.46,6583.18,3994.96,2588.22
26,284,22,23,3,6,876.88,0,541.14,5261.28,0.0,5261.28,3246.84,2014.44
27,28,41,11,3,5,580.32,15,454.29,2901.6,435.24,2466.36,2271.45,194.91
28,108,16,7,5,2,358.56,5,272.32,717.12,35.86,681.26,544.64,136.62
29,44,29,15,2,4,328.72,0,193.33,1314.88,0.0,1314.88,773.32,541.56
30,340,49,22,8,5,81.75,0,55.45,408.75,0.0,408.75,277.25,131.5
31,286,48,24,4,4,825.03,15,521.56,3300.12,495.02,2805.1,2086.24,718.86
32,331,30,11,4,2,477.86,15,323.7,955.72,143.36,812.36,647.4,164.96
33,128,12,29,5,7,358.88,10,262.6,2512.16,251.22,2260.94,1838.2,422.74
34,348,35,22,7,2,497.55,5,205.88,995.1,49.76,945.34,411.76,533.58
35,231,11,26,6,1,827.8,10,438.99,827.8,82.78,745.02,438.99,306.03
36,190,46,16,7,5,168.38,10,131.96,841.9,84.19,757.71,659.8,97.91
37,225,50,3,4,1,864.77,0,674.29,864.77,0.0,864.77,674.29,190.48
38,283,21,20,3,1,902.63,15,365.1,902.63,135.39,767.24,365.1,402.14
39,121,21,14,5,1,949.37,0,456.24,949.37,0.0,949.37,456.24,493.13
40,116,5,3,1,6,427.61,5,341.02,2565.66,128.28,2437.38,2046.12,391.26
41,233,48,1,2,9,256.28,10,153.03,2306.52,230.65,2075.87,1377.27,698.6
42,259,20,26,2,1,404.96,5,254.78,404.96,20.25,384.71,254.78,129.93
43,359,37,21,8,5,366.27,15,170.89,1831.35,274.7,1556.65,854.45,702.2
44,198,3,15,2,9,217.35,15,164.69,1956.15,293.42,1662.73,1482.21,180.52
45,137,44,1,3,9,626.9,20,308.75,5642.1,1128.42,4513.68,2778.75,1734.93
46,318,33,17,1,1,502.79,5,239.26,502.79,25.14,477.65,239.26,238.39
47,165,9,2,5,8,872.42,0,428.58,6979.36,0.0,6979.36,3428.64,3550.72
48,225,9,29,5,1,80.5,5,61.81,80.5,4.03,76.47,61.81,14.66
49,307,4,20,2,8,661.67,10,450.69,5293.36,529.34,4764.02,3605.52,1158.5
50,234,35,6,1,1,774.8,15,548.12,774.8,116.22,658.58,548.12,110.46
51,172,17,8,1,5,771.51,15,424.96,3857.55,578.63,3278.92,2124.8,1154.12
52,152,34,29,1,8,891.77,5,681.02,7134.16,356.71,6777.45,5448.16,1329.29
53,315,24,16,4,6,742.58,5,531.51,4455.48,222.77,4232.71,3189.06,1043.65
54,160,32,19,4,9,931.42,5,652.22,8382.78,419.14,7963.64,5869.98,2093.66
55,96,1,1,2,1,366.02,10,288.56,366.02,36.6,329.42,288.56,40.86
56,233,8,3,1,9,528.05,10,288.57,4752.45,475.24,4277.21,2597.13,1680.08
57,180,45,28,6,1,63.38,0,40.84,63.38,0.0,63.38,40.84,22.54
58,113,23,3,1,3,56.61,5,43.25,169.83,8.49,161.34,129.75,31.59
59,318,47,5,5,1,278.12,0,199.23,278.12,0.0,278.12,199.23,78.89
60,52,40,27,5,3,145.77,20,91.16,437.31,87.46,349.85,273.48,76.37
61,268,12,12,2,2,297.2,10,127.94,594.4,59.44,534.96,255.88,279.08
62,295,12,12,6,2,218.19,15,144.24,436.38,65.46,370.92,288.48,82.44
63,113,46,20,1,9,77.09,20,47.07,693.81,138.76,555.05,423.63,131.42
64,101,47,13,7,8,913.84,15,432.86,7310.72,1096.61,6214.11,3462.88,2751.23
65,113,15,20,6,1,57.81,20,43.53,57.81,11.56,46.25,43.53,2.72
66,81,41,9,8,4,749.28,0,402.59,2997.12,0.0,2997.12,1610.36,1386.76
67,187,19,7,2,1,194.54,0,107.97,194.54,0.0,194.54,107.97,86.57
68,113,26,4,5,1,916.62,10,613.18,916.62,91.66,824.96,613.18,211.78
69,2,29,19,7,4,898.16,15,534.87,3592.64,538.9,3053.74,2139.48,914.26
70,130,22,22,5,2,671.21,20,292.45,1342.42,268.48,1073.94,584.9,489.04
71,220,40,19,4,3,688.62,5,382.17,2065.86,103.29,1962.57,1146.51,816.06
72,54,21,6,2,9,55.07,5,24.11,495.63,24.78,470.85,216.99,253.86
73,343,38,27,2,2,985.63,10,469.46,1971.26,197.13,1774.13,938.92,835.21
74,224,20,13,1,4,883.94,15,356.11,3535.76,530.36,3005.4,1424.44,1580.96
75,225,29,11,1,1,900.35,5,425.44,900.35,45.02,855.33,425.44,429.89
76,126,4,13,4,2,676.28,10,359.9,1352.56,135.26,1217.3,719.8,497.5
77,130,7,13,7,5,377.55,10,232.3,1887.75,188.78,1698.97,1161.5,537.47
78,53,28,28,8,1,898.97,15,690.15,898.97,134.85,764.12,690.15,73.97
79,172,28,25,3,7,326.94,5,201.44,2288.58,114.43,2174.15,1410.08,764.07
