id_venda,data,ano,mes,trimestre,id_cliente,nome_cliente,segmento_cliente,cidade,id_artigo,nome_artigo,categoria,subcategoria,id_vendedor,nome_vendedor,equipa,quantidade,preco_unitario,desconto_perc,total_bruto,total_desconto,total_liquido,custo_total,margem
1,2024-03-03,2024,3,1,19,Cliente 19,B2B,Lisboa,22,Artigo 22,Hardware,Implementação,4,Vendedor 4,Online,7,272.33,0,1906.31,0.0,1906.31,800.59,1105.72
2,2024-12-17,2024,12,4,47,Cliente 47,B2B,Lisboa,30,Artigo 30,Hardware,Suporte,7,Vendedor 7,Norte,4,608.68,20,2434.72,486.94,1947.78,1515.24,432.54
3,2024-08-18,2024,8,3,14,Cliente 14,Parceiro,Braga,23,Artigo 23,Software,Suporte,3,Vendedor 3,Online,2,592.16,20,1184.32,236.86,947.46,483.56,463.9
4,2024-08-28,2024,8,3,38,Cliente 38,Parceiro,Lisboa,8,Artigo 8,Software,Suporte,1,Vendedor 1,Online,8,510.05,5,4080.4,204.02,3876.38,1801.04,2075.34
5,2024-02-21,2024,2,1,36,Cliente 36,B2B,Lisboa,13,Artigo 13,Software,Equipamento,7,Vendedor 7,Norte,5,572.48,15,2862.4,429.36,2433.04,1542.9,890.14
6,2024-04-05,2024,4,2,40,Cliente 40,Parceiro,Coimbra,27,Artigo 27,Hardware,Suporte,6,Vendedor 6,Sul,6,517.2,5,3103.2,155.16,2948.04,1295.28,1652.76
7,2024-08-09,2024,8,3,17,Cliente 17,B2B,Porto,20,Artigo 20,Software,Licença,1,Vendedor 1,Online,7,587.18,10,4110.26,411.03,3699.23,2302.51,1396.72
8,2024-08-18,2024,8,3,30,Cliente 30,Parceiro,Braga,3,Artigo 3,Hardware,Equipamento,5,Vendedor 5,Sul,1,729.73,20,729.73,145.95,583.78,329.94,253.84
9,2024-08-24,2024,8,3,9,Cliente 9,Parceiro,Coimbra,5,Artigo 5,Serviço,Licença,2,Vendedor 2,Norte,8,154.15,0,1233.2,0.0,1233.2,665.84,567.36
10,2024-05-22,2024,5,2,33,Cliente 33,B2B,Coimbra,9,Artigo 9,Software,Implementação,4,Vendedor 4,Online,4,762.14,0,3048.56,0.0,3048.56,2184.2,864.36
11,2024-06-19,2024,6,2,25,Cliente 25,Retail,Lisboa,29,Artigo 29,Software,Implementação,8,Vendedor 8,Online,9,179.09,0,1611.81,0.0,1611.81,1048.59,563.22
12,2024-01-29,2024,1,1,14,Cliente 14,Parceiro,Braga,6,Artigo 6,Software,Equipamento,6,Vendedor 6,Sul,1,113.3,20,113.3,22.66,90.64,65.51,25.13
13,2024-02-05,2024,2,1,11,Cliente 11,Parceiro,Coimbra,25,Artigo 25,Software,Licença,6,Vendedor 6,Sul,2,977.28,15,1954.56,293.18,1661.38,853.62,807.76
14,2024-01-13,2024,1,1,35,Cliente 35,Parceiro,Lisboa,22,Artigo 22,Hardware,Implementação,3,Vendedor 3,Online,6,959.14,20,5754.84,1150.97,4603.87,3727.2,876.67
15,2024-06-08,2024,6,2,41,Cliente 41,Retail,Braga,2,Artigo 2,Serviço,Equipamento,1,Vendedor 1,Online,1,107.41,20,107.41,21.48,85.93,50.0,35.93
16,2024-11-22,2024,11,4,14,Cliente 14,Parceiro,Braga,13,Artigo 13,Software,Equipamento,3,Vendedor 3,Online,4,471.09,0,1884.36,0.0,1884.36,811.48,1072.88
17,2024-07-05,2024,7,3,30,Cliente 30,Parceiro,Braga,5,Artigo 5,Serviço,Licença,2,Vendedor 2,Norte,8,226.93,20,1815.44,363.09,1452.35,1208.32,244.03
18,2024-08-30,2024,8,3,41,Cliente 41,Retail,Braga,28,Artigo 28,Serviço,Suporte,7,Vendedor 7,Norte,5,511.08,0,2555.4,0.0,2555.4,1954.45,600.95
19,2024-03-26,2024,3,1,4,Cliente 4,Parceiro,Porto,27,Artigo 27,Hardware,Suporte,2,Vendedor 2,Norte,9,838.67,15,7548.03,1132.2,6415.83,4409.82,2006.01
20,2024-10-10,2024,10,4,4,Cliente 4,Parceiro,Porto,25,Artigo 25,Software,Licença,7,Vendedor 7,Norte,6,953.08,10,5718.48,571.85,5146.63,2381.16,2765.47
21,2024-03-06,2024,3,1,28,Cliente 28,Parceiro,Lisboa,8,Artigo 8,Software,Suporte,3,Vendedor 3,Online,1,652.54,0,652.54,0.0,652.54,490.79,161.75
22,2024-06-18,2024,6,2,8,Cliente 8,B2B,Braga,23,Artigo 23,Software,Suporte,4,Vendedor 4,Online,6,386.21,5,2317.26,115.86,2201.4,988.98,1212.42
23,2024-02-14,2024,2,1,2,Cliente 2,Retail,Porto,1,Artigo 1,Software,Licença,2,Vendedor 2,Norte,6,623.16,10,3738.96,373.9,3365.06,2793.0,572.06
24,2024-03-02,2024,3,1,41,Cliente 41,Retail,Braga,20,Artigo 20,Software,Licença,3,Vendedor 3,Online,6,346.4,15,2078.4,311.76,1766.64,1157.1,609.54
25,2024-05-13,2024,5,2,46,Cliente 46,Parceiro,Porto,12,Artigo 12,Software,Suporte,1,Vendedor 1,Online,8,914.33,10,7314.64,731.46,6583.18,3994.96,2588.22
26,2024-10-10,2024,10,4,22,Cliente 22,Retail,Lisboa,23,Artigo 23,Software,Suporte,3,Vendedor 3,Online,6,876.88,0,5261.28,0.0,5261.28,3246.84,2014.44
27,2024-01-28,2024,1,1,41,Cliente 41,Retail,Braga,11,Artigo 11,Software,Licença,3,Vendedor 3,Online,5,580.32,15,2901.6,435.24,2466.36,2271.45,194.91
28,2024-04-17,2024,4,2,16,Cliente 16,Retail,Lisboa,7,Artigo 7,Software,Suporte,5,Vendedor 5,Sul,2,358.56,5,717.12,35.86,681.26,544.64,136.62
29,2024-02-13,2024,2,1,29,Cliente 29,Parceiro,Porto,15,Artigo 15,Software,Implementação,2,Vendedor 2,Norte,4,328.72,0,1314.88,0.0,1314.88,773.32,541.56
30,2024-12-05,2024,12,4,49,Cliente 49,B2B,Porto,22,Artigo 22,Hardware,Implementação,8,Vendedor 8,Online,5,81.75,0,408.75,0.0,408.75,277.25,131.5
31,2024-10-12,2024,10,4,48,Cliente 48,Retail,Coimbra,24,Artigo 24,Hardware,Licença,4,Vendedor 4,Online,4,825.03,15,3300.12,495.02,2805.1,2086.24,718.86
32,2024-11-26,2024,11,4,30,Cliente 30,Parceiro,Braga,11,Artigo 11,Software,Licença,4,Vendedor 4,Online,2,477.86,15,955.72,143.36,812.36,647.4,164.96
33,2024-05-07,2024,5,2,12,Cliente 12,Parceiro,Porto,29,Artigo 29,Software,Implementação,5,Vendedor 5,Sul,7,358.88,10,2512.16,251.22,2260.94,1838.2,422.74
34,2024-12-13,2024,12,4,35,Cliente 35,Parceiro,Lisboa,22,Artigo 22,Hardware,Implementação,7,Vendedor 7,Norte,2,497.55,5,995.1,49.76,945.34,411.76,533.58
35,2024-08-18,2024,8,3,11,Cliente 11,Parceiro,Coimbra,26,Artigo 26,Serviço,Implementação,6,Vendedor 6,Sul,1,827.8,10,827.8,82.78,745.02,438.99,306.03
36,2024-07-08,2024,7,3,46,Cliente 46,Parceiro,Porto,16,Artigo 16,Software,Suporte,7,Vendedor 7,Norte,5,168.38,10,841.9,84.19,757.71,659.8,97.91
37,2024-08-12,2024,8,3,50,Cliente 50,B2B,Coimbra,3,Artigo 3,Hardware,Equipamento,4,Vendedor 4,Online,1,864.77,0,864.77,0.0,864.77,674.29,190.48
38,2024-10-09,2024,10,4,21,Cliente 21,Retail,Coimbra,20,Artigo 20,Software,Licença,3,Vendedor 3,Online,1,902.63,15,902.63,135.39,767.24,365.1,402.14
39,2024-04-30,2024,4,2,21,Cliente 21,Retail,Coimbra,14,Artigo 14,Hardware,Equipamento,5,Vendedor 5,Sul,1,949.37,0,949.37,0.0,949.37,456.24,493.13
40,2024-04-25,2024,4,2,5,Cliente 5,Retail,Lisboa,3,Artigo 3,Hardware,Equipamento,1,Vendedor 1,Online,6,427.61,5,2565.66,128.28,2437.38,2046.12,391.26
41,2024-08-20,2024,8,3,48,Cliente 48,Retail,Coimbra,1,Artigo 1,Software,Licença,2,Vendedor 2,Norte,9,256.28,10,2306.52,230.65,2075.87,1377.27,698.6
42,2024-09-15,2024,9,3,20,Cliente 20,B2B,Coimbra,26,Artigo 26,Serviço,Implementação,2,Vendedor 2,Norte,1,404.96,5,404.96,20.25,384.71,254.78,129.93
43,2024-12-24,2024,12,4,37,Cliente 37,Parceiro,Coimbra,21,Artigo 21,Hardware,Suporte,8,Vendedor 8,Online,5,366.27,15,1831.35,274.7,1556.65,854.45,702.2
44,2024-07-16,2024,7,3,3,Cliente 3,Parceiro,Lisboa,15,Artigo 15,Software,Implementação,2,Vendedor 2,Norte,9,217.35,15,1956.15,293.42,1662.73,1482.21,180.52
45,2024-05-16,2024,5,2,44,Cliente 44,Retail,Braga,1,Artigo 1,Software,Licença,3,Vendedor 3,Online,9,626.9,20,5642.1,1128.42,4513.68,2778.75,1734.93
46,2024-11-13,2024,11,4,33,Cliente 33,B2B,Coimbra,17,Artigo 17,Hardware,Suporte,1,Vendedor 1,Online,1,502.79,5,502.79,25.14,477.65,239.26,238.39
47,2024-06-13,2024,6,2,9,Cliente 9,Parceiro,Coimbra,2,Artigo 2,Serviço,Equipamento,5,Vendedor 5,Sul,8,872.42,0,6979.36,0.0,6979.36,3428.64,3550.72
48,2024-08-12,2024,8,3,9,Cliente 9,Parceiro,Coimbra,29,Artigo 29,Software,Implementação,5,Vendedor 5,Sul,1,80.5,5,80.5,4.03,76.47,61.81,14.66
49,2024-11-02,2024,11,4,4,Cliente 4,Parceiro,Porto,20,Artigo 20,Software,Licença,2,Vendedor 2,Norte,8,661.67,10,5293.36,529.34,4764.02,3605.52,1158.5
50,2024-08-21,2024,8,3,35,Cliente 35,Parceiro,Lisboa,6,Artigo 6,Software,Equipamento,1,Vendedor 1,Online,1,774.8,15,774.8,116.22,658.58,548.12,110.46
51,2024-06-20,2024,6,2,17,Cliente 17,B2B,Porto,8,Artigo 8,Software,Suporte,1,Vendedor 1,Online,5,771.51,15,3857.55,578.63,3278.92,2124.8,1154.12
52,2024-05-31,2024,5,2,34,Cliente 34,B2B,Lisboa,29,Artigo 29,Software,Implementação,1,Vendedor 1,Online,8,891.77,5,7134.16,356.71,6777.45,5448.16,1329.29
53,2024-11-10,2024,11,4,24,Cliente 24,B2B,Lisboa,16,Artigo 16,Software,Suporte,4,Vendedor 4,Online,6,742.58,5,4455.48,222.77,4232.71,3189.06,1043.65
54,2024-06-08,2024,6,2,32,Cliente 32,Parceiro,Lisboa,19,Artigo 19,Hardware,Suporte,4,Vendedor 4,Online,9,931.42,5,8382.78,419.14,7963.64,5869.98,2093.66
55,2024-04-05,2024,4,2,1,Cliente 1,Parceiro,Lisboa,1,Artigo 1,Software,Licença,2,Vendedor 2,Norte,1,366.02,10,366.02,36.6,329.42,288.56,40.86
56,2024-08-20,2024,8,3,8,Cliente 8,B2B,Braga,3,Artigo 3,Hardware,Equipamento,1,Vendedor 1,Online,9,528.05,10,4752.45,475.24,4277.21,2597.13,1680.08
57,2024-06-28,2024,6,2,45,Cliente 45,Retail,Coimbra,28,Artigo 28,Serviço,Suporte,6,Vendedor 6,Sul,1,63.38,0,63.38,0.0,63.38,40.84,22.54
58,2024-04-22,2024,4,2,23,Cliente 23,B2B,Lisboa,3,Artigo 3,Hardware,Equipamento,1,Vendedor 1,Online,3,56.61,5,169.83,8.49,161.34,129.75,31.59
59,2024-11-13,2024,11,4,47,Cliente 47,B2B,Lisboa,5,Artigo 5,Serviço,Licença,5,Vendedor 5,Sul,1,278.12,0,278.12,0.0,278.12,199.23,78.89
60,2024-02-21,2024,2,1,40,Cliente 40,Parceiro,Coimbra,27,Artigo 27,Hardware,Suporte,5,Vendedor 5,Sul,3,145.77,20,437.31,87.46,349.85,273.48,76.37
61,2024-09-24,2024,9,3,12,Cliente 12,Parceiro,Porto,12,Artigo 12,Software,Suporte,2,Vendedor 2,Norte,2,297.2,10,594.4,59.44,534.96,255.88,279.08
62,2024-10-21,2024,10,4,12,Cliente 12,Parceiro,Porto,12,Artigo 12,Software,Suporte,6,Vendedor 6,Sul,2,218.19,15,436.38,65.46,370.92,288.48,82.44
63,2024-04-22,2024,4,2,46,Cliente 46,Parceiro,Porto,20,Artigo 20,Software,Licença,1,Vendedor 1,Online,9,77.09,20,693.81,138.76,555.05,423.63,131.42
64,2024-04-10,2024,4,2,47,Cliente 47,B2B,Lisboa,13,Artigo 13,Software,Equipamento,7,Vendedor 7,Norte,8,913.84,15,7310.72,1096.61,6214.11,3462.88,2751.23
65,2024-04-22,2024,4,2,15,Cliente 15,B2B,Braga,20,Artigo 20,Software,Licença,6,Vendedor 6,Sul,1,57.81,20,57.81,11.56,46.25,43.53,2.72
66,2024-03-21,2024,3,1,41,Cliente 41,Retail,Braga,9,Artigo 9,Software,Implementação,8,Vendedor 8,Online,4,749.28,0,2997.12,0.0,2997.12,1610.36,1386.76
67,2024-07-05,2024,7,3,19,Cliente 19,B2B,Lisboa,7,Artigo 7,Software,Suporte,2,Vendedor 2,Norte,1,194.54,0,194.54,0.0,194.54,107.97,86.57
68,2024-04-22,2024,4,2,26,Cliente 26,Retail,Lisboa,4,Artigo 4,Software,Implementação,5,Vendedor 5,Sul,1,916.62,10,916.62,91.66,824.96,613.18,211.78
69,2024-01-02,2024,1,1,29,Cliente 29,Parceiro,Porto,19,Artigo 19,Hardware,Suporte,7,Vendedor 7,Norte,4,898.16,15,3592.64,538.9,3053.74,2139.48,914.26
70,2024-05-09,2024,5,2,22,Cliente 22,Retail,Lisboa,22,Artigo 22,Hardware,Implementação,5,Vendedor 5,Sul,2,671.21,20,1342.42,268.48,1073.94,584.9,489.04
71,2024-08-07,2024,8,3,40,Cliente 40,Parceiro,Coimbra,19,Artigo 19,Hardware,Suporte,4,Vendedor 4,Online,3,688.62,5,2065.86,103.29,1962.57,1146.51,816.06
72,2024-02-23,2024,2,1,21,Cliente 21,Retail,Coimbra,6,Artigo 6,Software,Equipamento,2,Vendedor 2,Norte,9,55.07,5,495.63,24.78,470.85,216.99,253.86
73,2024-12-08,2024,12,4,38,Cliente 38,Parceiro,Lisboa,27,Artigo 27,Hardware,Suporte,2,Vendedor 2,Norte,2,985.63,10,1971.26,197.13,1774.13,938.92,835.21
74,2024-08-11,2024,8,3,20,Cliente 20,B2B,Coimbra,13,Artigo 13,Software,Equipamento,1,Vendedor 1,Online,4,883.94,15,3535.76,530.36,3005.4,1424.44,1580.96
75,2024-08-12,2024,8,3,29,Cliente 29,Parceiro,Porto,11,Artigo 11,Software,Licença,1,Vendedor 1,Online,1,900.35,5,900.35,45.02,855.33,425.44,429.89
76,2024-05-05,2024,5,2,4,Cliente 4,Parceiro,Porto,13,Artigo 13,Software,Equipamento,4,Vendedor 4,Online,2,676.28,10,1352.56,135.26,1217.3,719.8,497.5
77,2024-05-09,2024,5,2,7,Cliente 7,Parceiro,Coimbra,13,Artigo 13,Software,Equipamento,7,Vendedor 7,Norte,5,377.55,10,1887.75,188.78,1698.97,1161.5,537.47
